Zip Code,#2 Fuel Oil with 0% biodiesel (gallons),#2 Fuel Oil with 2% biodiesel (gallons),#2 Fuel Oil with 5% biodiesel (gallons),#2 Fuel Oil with 6% biodiesel (gallons),#2 Fuel Oil with 10% biodiesel (gallons),#2 Fuel Oil with 17% biodiesel (gallons),Total #2 Fuel Oil without Biodiesel Component,Total Biodiesel Blended with #2 Fuel Oil,Total Biodiesel Blended with #2 Fuel Oil 1,#4 Fuel Oil with 2% biodiesel (gallons),#4 Fuel Oil with 5% biodiesel (gallons),#4 Fuel Oil with 6% biodiesel (gallons),Total #4 Fuel Oil without Biodiesel Component,Total Biodiesel Blended with #4 Fuel Oil
11377,0,306719.9325,852885.8588,7050354.419,60708,189314,7976411.994,516675.12,2105336.54,42060.54526,217781.4,1977756.898,2107203.148,130395.6948
11378,2378,19678.60319,178660.9689,200889.5317,14519.1,95785,499187.9313,45713.37,138952.94,736.0709296,38330.5,92.01463812,37221.81827,1936.767297
11379,0,7258.528628,67608.09661,53127.02072,0,61412,181519.0493,19469.9,53457.05,0,0,0,0,0
11380,0,518.5565878,13592.35843,247.9374918,0,0,13653.98721,704.87,3435.66,0,0,0,0,0
11381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11385,2041,64261.9259,189454.5959,1003112.658,88876,347897,1623686.042,155729.24,463712.03,752.6049448,0,39285.58152,37665.99947,2372.18699
11386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11400,0,20.928155,3.666907971,10.00637998,0,0,469.3191516,110.18,95.07,0,0,0,0,0
11405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11411,400,7691.429184,71388.44689,37964.00349,0,89313,190547.8584,22428.12,59293.87,522.3481393,27201,65.29761343,26414.23093,1374.41482
11412,902,16072.96898,145392.8109,57380.16961,60091.7,137983,399113.2594,45947.89,120322.84,0,0,0,0,0
11413,0,8946.653756,110803.6799,29707.16409,0,87420,223199.1109,24534.09,67002.77,2084.386265,108543.3,260.5646279,105403.7643,5484.486603
11414,0,2367.973305,19379.50233,29419.39922,0,12073,60269.48631,5299.79,16887.81,391.3453537,20379.1,48.92123796,19789.64941,1029.717181
11415,2236,7766.027745,120718.6176,43841.0713,0,28874,198990.1409,16051.48,53528.32,4895.950425,254954,612.0321949,247579.6417,12882.34094
11416,0,8104.404018,24888.80591,118029.4592,26089.1,41944,205112.4832,19298.79,59250.18,0,0,0,0,0
11417,0,8466.074337,73284.17565,77466.08462,0,68461,212956.3493,21469.59,62711.14,2705.523705,140888.7,338.2116786,136813.5972,7118.838175
11418,557,18644.79688,233150.6314,94392.73783,0,134418,468707.7144,47567.45,134286.59,0,0,0,0,0
11419,0,10234.07519,72814.85434,46668.61897,3100.7,130305,250222.7471,33159.2,79152.01,181.1406025,9432.8,22.64399573,9159.963146,476.6214518
11420,0,11774.91973,85380.23203,39836.64306,71607.4,93962,291321.6462,34726.35,88293.32,0,0,0,0,0
11421,600,8744.923087,62971.43388,50347.41059,0,94547,214742.6628,27404.6,65365.84,38.40653942,2000,4.801118593,1942.15146,101.0561979
11422,739,6394.80151,76139.75943,18131.44682,0,64111,158839.407,18232.9,47689.52,0,0,0,0,0
11423,304,9477.900126,93566.8618,73829.16894,0,62273,237960.8696,24482.56,67476.24,3838.862277,199906.7,479.8878871,194124.5446,10100.90552
11424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11426,836,20440.04006,144405.6833,243538.5976,0,118694,515951.9001,50033.62,145609.76,948.4456502,49389.8,118.5631435,47961.23609,2495.572702
11427,1905,10852.22967,106539.4637,55613.47721,0,88215,269146.5942,31352.08,77706.7,1895.262863,98694.8,236.9227197,95840.12496,4986.86062
11428,2353,7125.06315,46202.81157,31933.80686,29059,59481,175679.2213,21614.06,52522.18,0,0,0,0,0
11429,3466,7245.904138,48153.48462,29023.08457,0,102323,176864.9059,23774.47,57061.87,0,0,0,0,0
11430,0,145.9478601,25.57212386,69.78205894,3800,0,3652.917556,388.38,1118.97,0,0,0,0,0
11431,0,164.9940559,1031.909286,2579.788618,0,792,4224.369297,344.32,1189.2,0,0,0,0,0
11432,0,24495.80435,208102.0105,263893.7804,0,108017,618442.0218,59847.77,168779.94,5130.537568,232469,35342.35743,259095.2928,13846.6022
11433,782,5567.814846,91919.7597,18338.73964,0,30390,141764.1055,12408.91,39326.79,1304.226548,67916.9,163.0385457,65952.45325,3431.711844
11434,700,13361.79545,80021.87505,49245.87604,114427.7,108231,332123.4443,37865.2,103489.81,2955.402411,153901,369.4484763,149449.5259,7776.324957
11435,2538,16323.65364,115093.2344,74307.12947,149071.5,79684,410012.6049,41990.01,120995.51,3919.867429,131909,72706.01417,197498.6734,11036.2082
11436,0,3374.671714,31592.89009,18119.63199,0,35808,83713.19793,9731.6,25564.32,0,0,0,0,0
11439,0,751.785109,131.7233559,19933.45106,0,0,19599.33059,1217.63,5137.5,0,0,0,0,0
11443,0,32.06244043,5.617791841,850.1300165,0,0,835.8803094,51.93,219.11,0,0,0,0,0
